episode:  100000 , loss:  0 , win_rate:  1.0
episode:  102000 , loss:  1.73685e-05 , win_rate:  0.68115942029
episode:  104000 , loss:  2.08135e-05 , win_rate:  0.689577605599
episode:  106000 , loss:  2.5206e-05 , win_rate:  0.700216630562
episode:  108000 , loss:  1.58946e-05 , win_rate:  0.699662542182
episode:  110000 , loss:  1.89982e-05 , win_rate:  0.70502949705
episode:  112000 , loss:  1.81192e-05 , win_rate:  0.703441379885
episode:  114000 , loss:  2.00274e-05 , win_rate:  0.704521105635
episode:  116000 , loss:  1.54274e-05 , win_rate:  0.704330979314
episode:  118000 , loss:  1.83241e-05 , win_rate:  0.706182989834
episode:  120000 , loss:  1.3349e-05 , win_rate:  0.706414679266
episode:  122000 , loss:  1.76286e-05 , win_rate:  0.710785873369
episode:  124000 , loss:  2.27457e-05 , win_rate:  0.711428690471
episode:  126000 , loss:  3.05197e-05 , win_rate:  0.713818699281
episode:  128000 , loss:  2.28489e-05 , win_rate:  0.714367344023
episode:  130000 , loss:  1.78411e-05 , win_rate:  0.715709476351
episode:  132000 , loss:  1.26052e-05 , win_rate:  0.715321396206
episode:  134000 , loss:  9.65023e-06 , win_rate:  0.716596570689
episode:  136000 , loss:  1.1081e-05 , win_rate:  0.716646759812
episode:  138000 , loss:  1.96906e-05 , win_rate:  0.7176390095
episode:  140000 , loss:  1.48852e-05 , win_rate:  0.718532036699
episode:  142000 , loss:  2.77589e-05 , win_rate:  0.720030475465
episode:  144000 , loss:  1.58895e-05 , win_rate:  0.721006340765
episode:  146000 , loss:  1.46675e-05 , win_rate:  0.722223429925
episode:  148000 , loss:  1.81012e-05 , win_rate:  0.723276598404
save:  150000
episode:  150000 , loss:  1.69536e-05 , win_rate:  0.72454550909
episode:  152000 , loss:  1.57477e-05 , win_rate:  0.72533220515
episode:  154000 , loss:  2.13854e-05 , win_rate:  0.726393955667
episode:  156000 , loss:  1.42252e-05 , win_rate:  0.726862020321
episode:  158000 , loss:  2.12446e-05 , win_rate:  0.727401251703
episode:  160000 , loss:  9.1166e-06 , win_rate:  0.727587873535
episode:  162000 , loss:  2.29989e-05 , win_rate:  0.728810825632
episode:  164000 , loss:  2.22733e-05 , win_rate:  0.729160481867
episode:  166000 , loss:  7.6383e-06 , win_rate:  0.729928334419
episode:  168000 , loss:  2.12643e-05 , win_rate:  0.730165732857
episode:  170000 , loss:  1.51666e-05 , win_rate:  0.730289567292
episode:  172000 , loss:  1.60033e-05 , win_rate:  0.730795405619
episode:  174000 , loss:  1.14855e-05 , win_rate:  0.730922555101
episode:  176000 , loss:  2.13025e-05 , win_rate:  0.731464059683
episode:  178000 , loss:  1.85583e-05 , win_rate:  0.731734208536
episode:  180000 , loss:  1.91409e-05 , win_rate:  0.731828352146
episode:  182000 , loss:  2.97064e-05 , win_rate:  0.732064243119
episode:  184000 , loss:  2.69867e-05 , win_rate:  0.732300805943
episode:  186000 , loss:  1.92039e-05 , win_rate:  0.732200788363
episode:  188000 , loss:  1.21673e-05 , win_rate:  0.732559857274
episode:  190000 , loss:  1.64121e-05 , win_rate:  0.73235852935
episode:  192000 , loss:  3.11033e-05 , win_rate:  0.732774643754
episode:  194000 , loss:  1.5054e-05 , win_rate:  0.732939011287
episode:  196000 , loss:  2.22258e-05 , win_rate:  0.733502776013
episode:  198000 , loss:  1.47697e-05 , win_rate:  0.733492515382
save:  200000
episode:  200000 , loss:  2.22369e-05 , win_rate:  0.733622663773
episode:  202000 , loss:  3.08022e-05 , win_rate:  0.734051626945
episode:  204000 , loss:  2.87271e-05 , win_rate:  0.734464091691
episode:  206000 , loss:  2.41122e-05 , win_rate:  0.734974198357
episode:  208000 , loss:  2.57346e-05 , win_rate:  0.735178377978
episode:  210000 , loss:  1.0542e-05 , win_rate:  0.735138771466
episode:  212000 , loss:  2.85849e-05 , win_rate:  0.735270220802
episode:  214000 , loss:  1.59058e-05 , win_rate:  0.735511092008
episode:  216000 , loss:  9.63667e-06 , win_rate:  0.735631589383
episode:  218000 , loss:  1.59963e-05 , win_rate:  0.735663257091
episode:  220000 , loss:  2.19709e-05 , win_rate:  0.735693869218
episode:  222000 , loss:  2.71211e-05 , win_rate:  0.735993967263
episode:  224000 , loss:  3.08391e-05 , win_rate:  0.736163418037
episode:  226000 , loss:  1.08262e-05 , win_rate:  0.736089396116
episode:  228000 , loss:  1.43963e-05 , win_rate:  0.736150498824
episode:  230000 , loss:  2.26233e-05 , win_rate:  0.736055876493
episode:  232000 , loss:  1.22636e-05 , win_rate:  0.736433814895
episode:  234000 , loss:  1.11679e-05 , win_rate:  0.73639002694
episode:  236000 , loss:  2.9225e-05 , win_rate:  0.736590172131
episode:  238000 , loss:  1.74084e-05 , win_rate:  0.736755530757
episode:  240000 , loss:  2.46835e-05 , win_rate:  0.737023306976
episode:  242000 , loss:  2.26798e-05 , win_rate:  0.737121569566
episode:  244000 , loss:  2.73862e-05 , win_rate:  0.737328212999
episode:  246000 , loss:  2.53508e-05 , win_rate:  0.737837412073
episode:  248000 , loss:  1.37206e-05 , win_rate:  0.737812582347
save:  250000
episode:  250000 , loss:  9.51026e-06 , win_rate:  0.737981746788
episode:  252000 , loss:  1.59224e-05 , win_rate:  0.737922776824
episode:  254000 , loss:  3.07174e-05 , win_rate:  0.738144557503
episode:  256000 , loss:  2.22532e-05 , win_rate:  0.738335010673
episode:  258000 , loss:  1.35825e-05 , win_rate:  0.738476338757
episode:  260000 , loss:  2.04821e-05 , win_rate:  0.738689133193
episode:  262000 , loss:  1.2615e-05 , win_rate:  0.739044820711
episode:  264000 , loss:  1.15979e-05 , win_rate:  0.739257687453
episode:  266000 , loss:  1.73711e-05 , win_rate:  0.739363015885
episode:  268000 , loss:  1.64187e-05 , win_rate:  0.739709882679
episode:  270000 , loss:  2.05674e-05 , win_rate:  0.739960353174
episode:  272000 , loss:  1.10548e-05 , win_rate:  0.740146859611
episode:  274000 , loss:  2.20131e-05 , win_rate:  0.740363561129
episode:  276000 , loss:  2.77545e-05 , win_rate:  0.740461701922
episode:  278000 , loss:  2.27126e-05 , win_rate:  0.740905949967
episode:  280000 , loss:  1.28358e-05 , win_rate:  0.74120143777
episode:  282000 , loss:  3.72455e-05 , win_rate:  0.741408014242
episode:  284000 , loss:  1.93395e-05 , win_rate:  0.741773142537
episode:  286000 , loss:  1.9735e-05 , win_rate:  0.741850850264
episode:  288000 , loss:  2.62545e-05 , win_rate:  0.742065201781
episode:  290000 , loss:  2.84629e-05 , win_rate:  0.742122409882
episode:  292000 , loss:  1.96472e-05 , win_rate:  0.742293008891
episode:  294000 , loss:  1.83022e-05 , win_rate:  0.742300297421
episode:  296000 , loss:  2.40345e-05 , win_rate:  0.742552333917
episode:  298000 , loss:  1.16579e-05 , win_rate:  0.742662915844
save:  300000
episode:  300000 , loss:  1.14268e-05 , win_rate:  0.742881285594
episode:  302000 , loss:  2.1684e-05 , win_rate:  0.742842857214
episode:  304000 , loss:  2.53477e-05 , win_rate:  0.743094396596
episode:  306000 , loss:  2.01459e-05 , win_rate:  0.743273090907
episode:  308000 , loss:  2.06424e-05 , win_rate:  0.743357003091
episode:  310000 , loss:  1.60263e-05 , win_rate:  0.743486935776
episode:  312000 , loss:  1.0608e-05 , win_rate:  0.743581398201
episode:  314000 , loss:  1.25818e-05 , win_rate:  0.743781571114
episode:  316000 , loss:  1.76409e-05 , win_rate:  0.743927111449
episode:  318000 , loss:  1.32732e-05 , win_rate:  0.744042458521
episode:  320000 , loss:  3.54928e-05 , win_rate:  0.744110254044
episode:  322000 , loss:  2.12661e-05 , win_rate:  0.744172323548
episode:  324000 , loss:  1.78734e-05 , win_rate:  0.744103820965
episode:  326000 , loss:  9.31424e-06 , win_rate:  0.744240069734
episode:  328000 , loss:  2.20101e-05 , win_rate:  0.744163402792
episode:  330000 , loss:  1.35377e-05 , win_rate:  0.744201112169
episode:  332000 , loss:  2.0172e-05 , win_rate:  0.744371791501
episode:  334000 , loss:  1.6908e-05 , win_rate:  0.744513912334
episode:  336000 , loss:  1.25966e-05 , win_rate:  0.744598539837
episode:  338000 , loss:  1.96349e-05 , win_rate:  0.744538888492
episode:  340000 , loss:  2.87031e-05 , win_rate:  0.744530231124
episode:  342000 , loss:  2.76598e-05 , win_rate:  0.744563038996
episode:  344000 , loss:  1.59263e-05 , win_rate:  0.744611702411
episode:  346000 , loss:  3.47411e-05 , win_rate:  0.744724614941
